Data,Temp M1,Temp Random
2016/04/17 23:23:29,20.69,22
2016/04/17 23:28:30,20.69,20
2016/04/17 23:33:31,20.69,22
2016/04/17 23:38:32,20.69,20
2016/04/17 23:43:33,20.69,17
2016/04/17 23:48:34,20.75,22
2016/04/17 23:53:35,20.75,18
2016/04/17 23:58:36,20.75,20
2016/04/18 00:03:37,20.75,22
2016/04/18 00:08:38,20.81,17
2016/04/18 00:13:39,20.81,20
2016/04/18 00:18:40,20.88,20
2016/04/18 00:23:41,20.81,21
2016/04/18 00:28:42,20.81,22
2016/04/18 00:33:43,20.81,22
2016/04/18 00:38:44,20.81,18
2016/04/18 00:43:45,20.75,20
2016/04/18 00:48:46,20.75,17
2016/04/18 00:53:47,20.75,22
2016/04/18 00:58:48,20.75,17
2016/04/18 01:03:49,20.75,18
2016/04/18 01:08:50,20.75,20
2016/04/18 01:13:51,20.69,19
2016/04/18 01:18:52,20.75,21
2016/04/18 01:23:53,20.69,18
2016/04/18 01:28:54,20.69,22
2016/04/18 01:33:55,20.69,17
2016/04/18 01:38:56,20.69,19
2016/04/18 01:43:57,20.69,18
2016/04/18 01:48:58,20.69,19
2016/04/18 01:53:59,20.69,20
2016/04/18 01:59:00,20.69,19
2016/04/18 02:04:01,20.69,19
2016/04/18 02:09:02,20.69,20
2016/04/18 02:14:03,20.63,19
2016/04/18 02:19:04,20.69,17
2016/04/18 02:24:05,20.69,17
2016/04/18 02:29:06,20.63,21
2016/04/18 02:34:07,20.63,17
2016/04/18 02:39:08,20.63,20
2016/04/18 02:44:09,20.63,18
2016/04/18 02:49:10,20.63,19
2016/04/18 02:54:11,20.63,18
2016/04/18 02:59:12,20.63,20
2016/04/18 03:04:13,20.63,17
2016/04/18 03:09:14,20.63,21
2016/04/18 03:14:15,20.63,19
2016/04/18 03:19:16,20.63,18
2016/04/18 03:24:17,20.63,21
2016/04/18 03:29:18,20.63,21
2016/04/18 03:34:19,20.63,17
2016/04/18 03:39:20,20.63,20
2016/04/18 03:44:21,20.63,19
2016/04/18 03:49:22,20.63,18
2016/04/18 03:54:23,20.56,20
2016/04/18 03:59:24,20.63,21
2016/04/18 04:04:25,20.63,17
2016/04/18 04:09:26,20.63,18
2016/04/18 04:14:27,20.63,21
2016/04/18 04:19:28,20.56,20
2016/04/18 04:24:29,20.56,21
2016/04/18 04:29:30,20.63,18
2016/04/18 04:34:31,20.56,22
2016/04/18 04:39:32,20.56,21
2016/04/18 04:44:33,20.56,21
2016/04/18 04:49:34,20.56,19
2016/04/18 04:54:35,20.56,22
2016/04/18 04:59:36,20.56,17
2016/04/18 05:04:37,20.56,22
2016/04/18 05:09:38,20.56,20
2016/04/18 05:14:39,20.56,22
2016/04/18 05:19:40,20.56,18
2016/04/18 05:24:41,20.56,17
2016/04/18 05:29:42,20.56,22
2016/04/18 05:34:43,20.56,20
2016/04/18 05:39:44,20.56,19
2016/04/18 05:44:45,20.56,21
2016/04/18 05:49:46,20.56,18
2016/04/18 05:54:47,20.56,20
2016/04/18 05:59:48,20.56,22
2016/04/18 06:04:49,20.50,17
2016/04/18 06:09:50,20.56,18
2016/04/18 06:14:51,20.56,17
2016/04/18 06:19:52,20.56,19
2016/04/18 06:24:53,20.56,21
2016/04/18 06:29:54,20.56,19
2016/04/18 06:34:55,20.56,17
2016/04/18 06:39:56,20.56,19
2016/04/18 06:44:57,20.56,21
2016/04/18 06:49:58,20.56,20
2016/04/18 06:54:59,20.50,22
2016/04/18 07:00:00,20.50,18
2016/04/18 07:05:01,20.56,18
2016/04/18 07:10:02,20.56,20
